Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Aruba,ABW,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.245085912,7.814431719,6.66662183,1.154469392,4.514062033,-0.364695779,-2.164459409,0.465289865,7.519472373,1.176690484,0.380390971,2.355119443,-3.654626242,-6.881302064,-5.653502086,,,,,,,,
Afghanistan,AFG,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.444163227,1.055555787,11.17527024,5.554137623,13.74020499,3.611368392,21.02064874,8.433290482,6.113685169,14.43474129,1.959122893,1.312530908,1.112557519,2.232271773,
Angola,AGO,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,2.800000008,7.900000004,5.599999981,0.400000019,-0.300000019,-1.199999989,-6.900000002,-24.69999999,3.499999989,10.40000002,11.19999997,7.90000001,6.804762116,3.239799671,3.012076171,4.220965147,-6.940461553,5.247494541,10.87957748,18.26145032,20.73512488,22.5930543,13.81714581,2.412869693,3.407654794,3.918596986,5.155440545,6.81358577,4.804472704,3.006980545,0,
Albania,ALB,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,,,,,,,,,,,,,,,,,,,,,5.745635292,2.948596802,1.104938262,-1.251596645,1.78064396,5.637243178,-0.787842655,-1.420039655,9.83654897,-9.575640169,-29.5889977,-7.199999986,9.600000045,8.29999998,13.29999999,9.100000008,-10.83785574,9.00885254,13.50117338,6.666620499,7.940331425,4.231371018,5.773490561,5.709556596,5.720819947,5.431012739,5.9,7.529999989,3.350000009,3.709999994,2.550000005,1.419999998,1.109999993,1.799999998,2.590000005,3.459999994,
Andorra,AND,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,,,,,,,,,,,4.649465361,8.149743489,7.788467203,5.61878973,0.542205659,3.30378705,2.838575566,1.463000179,0.041557195,2.208727607,-0.132474511,1.246461113,1.770118317,1.784686694,2.321433032,3.253321778,5.547122171,5.094326203,4.827034244,3.78138759,2.546002872,0.929211956,-1.031484011,2.383187691,2.757499187,4.649740149,9.067672199,3.194790296,4.099080837,1.165787079,6.066780597,6.426845139,12.02391974,8.069504291,7.839704496,4.585310593,0.078039378,-8.594256008,-3.817986024,-5.347977181,-4.802675037,-1.760010328,-0.063514313,,,,
Arab World,ARB,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,,,,,,,,,,,,,,,,15.90315161,8.505500967,-0.798476187,11.60505735,9.145067519,2.687083833,-8.992572535,-6.573568996,1.06640452,-2.164609505,4.462888655,-0.626386707,5.588775306,2.121000683,13.14135503,1.529615782,4.795395003,3.20093874,3.209841599,2.755267861,4.478689158,4.187297464,5.10019842,1.807698418,5.371689481,1.613836754,0.584405514,5.319266758,9.335660114,5.716297571,6.495442353,4.571748719,5.815953099,0.431831413,4.773789081,3.570433375,5.161397399,3.646934655,2.911346202,3.484808166,3.225529604,
United Arab Emirates,ARE,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,,,,,,,,,,,,,,,,16.52685649,21.43933016,-1.5896033,20.92357308,23.87477489,4.65917667,-6.719316188,-4.745820694,4.016951286,-3.594476527,-14.95813655,3.381981714,-2.61890772,12.3378913,18.32798551,0.860081945,3.344944873,1.261190952,6.896148545,6.687886471,5.798404051,8.190398652,0.291994344,2.90221365,10.8527042,1.399085028,2.433456814,8.800540817,9.566436643,4.855141195,9.837319773,3.184390174,3.191836271,-5.242921906,1.635449055,6.358920202,5.104679427,5.789906075,3.284926134,3.82886705,3.036459799,
Argentina,ARG,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,5.42784288,-0.852021523,-5.308196827,10.13029766,10.56943334,-0.659726172,3.191996623,4.822500782,9.679526008,3.045643319,5.658131083,1.628416516,2.811754041,5.533804395,-0.028412103,-2.018251517,6.934147755,-4.506124802,10.22276346,4.151762342,-5.689528,-4.957178519,3.875123424,2.211773504,-7.586677184,7.87577983,2.909993131,-2.556904877,-7.496189584,-2.398959219,12.66971009,11.94077473,5.906919492,5.836200704,-2.845209611,5.526689827,8.111046771,3.850178852,-3.385457041,-0.788998939,-4.408839683,-10.89448483,8.837040796,9.029573301,8.85165992,8.0471515,9.007650875,4.057233103,-5.918525076,10.12539816,6.003951693,-1.026420454,2.405323781,-2.512615321,2.647271415,-2.298175991,
Armenia,ARM,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-11.69999848,-41.80000275,-8.799998792,5.40000279,6.899998407,5.865400748,3.321079696,7.3,3.3,5.9,9.556641496,13.18630053,14.04079506,10.46784186,13.86571125,13.19800352,13.74920196,6.900000002,-14.14998864,2.199999999,4.699999999,7.200000003,3.300000002,3.600000001,2.999999997,0.199999998,
American Samoa,ASM,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.814111262,0.538358008,-0.401606426,-4.166666667,1.963534362,-2.613480055,-4.237288136,0.442477876,0.293685756,-4.39238653,-3.215926493,1.424050633,1.092043682,,
Antigua and Barbuda,ATG,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,,,,,,,,,,,,,,,,,,4.383621181,8.079742374,8.161435314,3.814916847,-0.08400885,5.364009643,10.16500109,7.643790495,11.49382819,6.626370731,5.213268558,5.252278102,3.011645772,2.176873116,1.158326269,5.280071488,6.676195163,-4.35949399,6.604818088,5.471131932,4.731313712,3.707894618,6.084634973,-5.196166358,1.087719703,6.110539449,5.811431058,6.287283752,12.80496079,9.289614439,0.047676393,-12.03555504,-7.041724676,-1.763273019,3.837469787,-0.200091657,4.602793308,4.126997099,4.375678654,
Australia,AUS,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,2.474965167,1.326664891,6.212971319,6.975489924,5.978493584,2.364606176,6.297786464,5.091587486,7.050657366,7.167345418,4.003308355,3.911781915,2.599312825,4.096768774,1.332862793,2.590951948,3.607674459,0.898233501,4.055964549,3.052416853,3.356420999,3.319422013,-2.230960236,4.630766129,5.249350487,4.100203645,2.578442474,5.776851984,3.880819843,3.530801438,-0.375332994,0.436463912,4.0619942,4.051610741,3.88933225,3.948807277,3.947615227,4.44013975,5.006807026,3.867868797,1.930054261,3.852927051,3.068304851,4.145671395,3.203548132,2.978054386,3.74972737,3.698140685,1.811957199,2.005879701,2.3728207,3.634249616,2.569856088,2.60945748,2.421610556,2.765773499,
Austria,AUT,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,5.537979317,2.648675113,4.138267582,6.124353738,3.480174918,5.642861411,3.008047798,4.472312782,6.275867166,5.546028411,5.114968735,6.207860972,4.890435421,3.942138086,-0.363735688,4.578445396,5.079980839,-0.210653522,5.356699873,1.731485369,-0.144294474,2.011254376,2.973088013,0.051275253,2.498678494,2.301392755,1.357167997,3.295880256,3.887074761,4.345641565,3.441627387,2.093524719,0.526809483,2.402118754,2.667983671,2.398314295,2.20501964,3.559966919,3.589987751,3.368407715,1.35051608,1.655854943,0.756156576,2.705743088,2.140682596,3.350831358,3.621510423,1.547263839,-3.799075048,1.928673056,2.807999932,0.7457561,0.124223545,0.644844832,0.963058399,1.480730721,
Azerbaijan,AZE,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.69999996,-22.60000039,-23.09999955,-19.70000002,-11.8000009,1.3000002,5.800000524,10.00000028,7.400000582,11.09999925,9.9,10.5999992,11.20000024,10.2000004,26.40000081,34.49999951,25.04899952,10.77242078,9.410653764,4.854339324,0.065922768,2.200000188,5.796678396,2,1.099999809,-3.100000202,
